F148W,F169M,F172M,N219M,N279N,U,B,V,R,I,J,H,K,FUV,NUV,age,Z
4.38703E-20,4.04479E-20,3.85377E-20,3.43285E-20,2.59285E-20,2.41E-20,3.15E-20,3.11E-20,3.30E-20,3.23E-20,3.27E-20,3.19E-20,1.06E-20,4.21E-20,3.23E-20,1.00E-03,6.80E+00
3.42602E-20,3.1542E-20,3.0153E-20,2.69247E-20,2.03969E-20,1.82E-20,2.21E-20,2.07E-20,2.12E-20,2.02E-20,2.01E-20,1.98E-20,5.52E-21,3.29E-20,2.54E-20,1.00E-03,6.90E+00
2.54901E-20,2.36876E-20,2.27081E-20,2.0366E-20,1.58087E-20,1.45E-20,1.77E-20,1.61E-20,1.58E-20,1.47E-20,1.38E-20,1.31E-20,3.61E-21,2.46E-20,1.94E-20,1.00E-03,7.00E+00
1.90826E-20,1.7909E-20,1.71979E-20,1.55669E-20,1.26919E-20,1.19E-20,1.44E-20,1.24E-20,1.13E-20,9.87E-21,8.13E-21,7.21E-21,1.96E-21,1.85E-20,1.51E-20,1.00E-03,7.10E+00
1.40496E-20,1.32086E-20,1.26616E-20,1.15057E-20,9.67394E-21,9.17E-21,1.10E-20,9.21E-21,7.96E-21,6.63E-21,4.88E-21,4.02E-21,1.05E-21,1.37E-20,1.13E-20,1.00E-03,7.20E+00
1.03276E-20,9.70917E-21,9.30354E-21,8.50461E-21,7.22545E-21,6.79E-21,8.15E-21,6.73E-21,5.70E-21,4.66E-21,3.24E-21,2.55E-21,6.14E-22,1.00E-20,8.37E-21,1.00E-03,7.30E+00
8.03603E-21,7.51064E-21,7.21146E-21,6.60341E-21,5.54124E-21,5.19E-21,6.60E-21,5.69E-21,5.05E-21,4.30E-21,3.37E-21,2.88E-21,5.85E-22,7.78E-21,6.46E-21,1.00E-03,7.40E+00
6.34016E-21,5.98427E-21,5.77439E-21,5.38506E-21,4.66153E-21,4.74E-21,6.52E-21,5.77E-21,5.21E-21,4.51E-21,3.62E-21,3.12E-21,6.17E-22,6.17E-21,5.31E-21,1.00E-03,7.50E+00
4.96553E-21,4.72999E-21,4.57749E-21,4.32725E-21,3.82851E-21,4.10E-21,5.91E-21,5.29E-21,4.81E-21,4.17E-21,3.35E-21,2.85E-21,5.46E-22,4.86E-21,4.29E-21,1.00E-03,7.60E+00
3.84138E-21,3.68377E-21,3.56859E-21,3.40471E-21,3.05848E-21,3.41E-21,5.10E-21,4.64E-21,4.26E-21,3.72E-21,3.00E-21,2.54E-21,4.74E-22,3.77E-21,3.39E-21,1.00E-03,7.70E+00
3.08479E-21,2.98063E-21,2.89361E-21,2.78904E-21,2.5496E-21,3.01E-21,4.76E-21,4.42E-21,4.15E-21,3.69E-21,3.11E-21,2.72E-21,5.14E-22,3.04E-21,2.78E-21,1.00E-03,7.80E+00
2.48918E-21,2.41933E-21,2.35381E-21,2.29144E-21,2.12075E-21,2.55E-21,4.18E-21,4.16E-21,4.34E-21,4.24E-21,4.49E-21,4.69E-21,9.46E-22,2.46E-21,2.29E-21,1.00E-03,7.90E+00
1.92717E-21,1.89157E-21,1.85182E-21,1.83795E-21,1.75775E-21,2.30E-21,4.06E-21,4.29E-21,4.71E-21,4.75E-21,5.21E-21,5.48E-21,1.10E-21,1.92E-21,1.85E-21,1.00E-03,8.00E+00
1.46033E-21,1.4422E-21,1.41698E-21,1.43085E-21,1.4039E-21,1.90E-21,3.40E-21,3.59E-21,3.84E-21,3.77E-21,3.84E-21,3.80E-21,7.45E-22,1.46E-21,1.45E-21,1.00E-03,8.10E+00
1.10063E-21,1.09826E-21,1.0832E-21,1.11493E-21,1.12905E-21,1.61E-21,3.01E-21,3.52E-21,4.18E-21,4.39E-21,5.12E-21,5.54E-21,1.12E-21,1.10E-21,1.14E-21,1.00E-03,8.20E+00
7.97718E-22,8.06736E-22,8.00483E-22,8.42005E-22,8.86977E-22,1.35E-21,2.60E-21,3.14E-21,3.81E-21,4.05E-21,4.79E-21,5.22E-21,1.06E-21,8.07E-22,8.71E-22,1.00E-03,8.30E+00
5.60547E-22,5.76874E-22,5.77704E-22,6.21334E-22,6.77919E-22,1.07E-21,2.08E-21,2.48E-21,2.96E-21,3.12E-21,3.61E-21,3.88E-21,7.80E-22,5.73E-22,6.49E-22,1.00E-03,8.40E+00
3.62822E-22,3.8118E-22,3.86724E-22,4.27757E-22,4.92119E-22,8.46E-22,1.71E-21,2.06E-21,2.49E-21,2.63E-21,3.08E-21,3.34E-21,6.75E-22,3.75E-22,4.54E-22,1.00E-03,8.50E+00
2.54952E-22,2.73689E-22,2.81118E-22,3.16931E-22,3.77794E-22,6.75E-22,1.38E-21,1.63E-21,1.91E-21,1.97E-21,2.21E-21,2.32E-21,4.64E-22,2.67E-22,3.41E-22,1.00E-03,8.60E+00
1.72541E-22,1.90517E-22,1.98913E-22,2.29848E-22,2.89379E-22,5.61E-22,1.19E-21,1.46E-21,1.75E-21,1.85E-21,2.13E-21,2.29E-21,4.60E-22,1.84E-22,2.52E-22,1.00E-03,8.70E+00
1.21696E-22,1.39394E-22,1.48398E-22,1.7451E-22,2.265E-22,4.52E-22,9.80E-22,1.21E-21,1.44E-21,1.51E-21,1.71E-21,1.81E-21,3.59E-22,1.33E-22,1.93E-22,1.00E-03,8.80E+00
8.42422E-23,1.0082E-22,1.10311E-22,1.32763E-22,1.79969E-22,3.90E-22,8.84E-22,1.14E-21,1.39E-21,1.48E-21,1.68E-21,1.77E-21,3.48E-22,9.42E-23,1.49E-22,1.00E-03,8.90E+00
5.53278E-23,7.03794E-23,8.06199E-23,1.00439E-22,1.43424E-22,3.39E-22,8.21E-22,1.15E-21,1.49E-21,1.63E-21,1.96E-21,2.12E-21,4.19E-22,6.38E-23,1.15E-22,1.00E-03,9.00E+00
3.06113E-23,4.15451E-23,5.217E-23,6.89389E-23,1.08406E-22,3.17E-22,8.47E-22,1.38E-21,1.96E-21,2.23E-21,2.81E-21,3.10E-21,6.15E-22,3.60E-23,8.15E-23,1.00E-03,9.10E+00
1.51268E-23,2.16937E-23,3.157E-23,4.54936E-23,7.40433E-23,2.04E-22,5.22E-22,7.85E-22,1.06E-21,1.18E-21,1.43E-21,1.56E-21,3.08E-22,1.76E-23,5.48E-23,1.00E-03,9.20E+00
5.87493E-24,8.90176E-24,1.61061E-23,2.74852E-23,5.02653E-23,1.48E-22,3.69E-22,5.53E-22,7.32E-22,8.02E-22,9.44E-22,9.98E-22,1.96E-22,6.64E-24,3.49E-23,1.00E-03,9.30E+00
1.95916E-24,3.21326E-24,7.41035E-24,1.60122E-23,3.41733E-23,1.12E-22,2.78E-22,4.37E-22,5.93E-22,6.56E-22,7.77E-22,8.21E-22,1.61E-22,2.15E-24,2.18E-23,1.00E-03,9.40E+00
8.91644E-25,1.49292E-24,3.80852E-24,9.97971E-24,2.42166E-23,8.69E-23,2.16E-22,3.51E-22,4.85E-22,5.41E-22,6.43E-22,6.78E-22,1.32E-22,9.76E-25,1.44E-23,1.00E-03,9.50E+00
4.22593E-25,7.35708E-25,2.08184E-24,6.64037E-24,1.81001E-23,6.89E-23,1.69E-22,2.80E-22,3.91E-22,4.38E-22,5.22E-22,5.51E-22,1.08E-22,4.65E-25,1.02E-23,1.00E-03,9.60E+00
1.66567E-25,3.27294E-25,1.08051E-24,4.34131E-24,1.28084E-23,4.60E-23,1.05E-22,1.66E-22,2.25E-22,2.48E-22,2.85E-22,2.95E-22,5.73E-23,1.90E-25,6.96E-24,1.00E-03,9.70E+00
1.18545E-25,1.89879E-25,5.21675E-25,2.5297E-24,9.0821E-24,4.11E-23,1.01E-22,1.76E-22,2.52E-22,2.85E-22,3.42E-22,3.60E-22,7.01E-23,1.33E-25,4.46E-24,1.00E-03,9.80E+00
7.35429E-26,1.1082E-25,3.14989E-25,1.88504E-24,7.55997E-24,3.64E-23,9.02E-23,1.60E-22,2.32E-22,2.64E-22,3.21E-22,3.41E-22,6.65E-23,8.01E-26,3.53E-24,1.00E-03,9.90E+00
2.59686E-26,4.56E-26,1.56408E-25,1.18526E-24,5.05063E-24,2.30E-23,5.30E-23,8.83E-23,1.24E-22,1.38E-22,1.61E-22,1.65E-22,3.19E-23,2.99E-26,2.31E-24,1.00E-03,1.00E+01
9.26384E-26,1.27827E-25,2.63578E-25,1.19483E-24,5.2933E-24,3.00E-23,7.89E-23,1.45E-22,2.14E-22,2.47E-22,3.06E-22,3.29E-22,6.46E-23,9.84E-26,2.34E-24,1.00E-03,1.01E+01
3.12929E-25,4.03761E-25,4.8846E-25,8.85713E-25,2.61501E-24,1.28E-23,3.22E-23,5.54E-23,8.00E-23,9.11E-23,1.10E-22,1.16E-22,2.26E-23,3.59E-25,1.37E-24,1.00E-03,1.02E+01
1.41652E-24,1.51112E-24,1.55366E-24,1.9038E-24,3.33013E-24,1.29E-23,3.25E-23,5.76E-23,8.51E-23,9.81E-23,1.22E-22,1.31E-22,2.57E-23,1.47E-24,2.32E-24,1.00E-03,1.03E+01
1.43937E-24,1.42801E-24,1.40318E-24,1.55175E-24,2.51935E-24,9.71E-24,2.42E-23,4.40E-23,6.56E-23,7.59E-23,9.42E-23,1.00E-22,1.96E-23,1.44E-24,1.83E-24,1.00E-03,1.04E+01
1.72755E-24,1.64871E-24,1.59167E-24,1.6602E-24,2.59221E-24,9.82E-24,2.39E-23,4.29E-23,6.36E-23,7.33E-23,9.03E-23,9.56E-23,1.87E-23,1.69E-24,1.94E-24,1.00E-03,1.05E+01
2.10347E-24,1.93245E-24,1.8169E-24,1.70198E-24,2.46745E-24,1.17E-23,3.26E-23,6.55E-23,1.02E-22,1.21E-22,1.57E-22,1.74E-22,3.44E-23,2.02E-24,1.91E-24,1.00E-03,1.06E+01
9.10507E-25,8.1733E-25,7.4955E-25,6.58227E-25,8.83202E-25,4.18E-24,1.17E-23,2.35E-23,3.72E-23,4.43E-23,5.75E-23,6.25E-23,1.24E-23,8.67E-25,7.13E-25,1.00E-03,1.07E+01
1.09577E-24,9.98901E-25,9.19168E-25,7.89711E-25,9.59739E-25,4.48E-24,1.25E-23,2.54E-23,4.01E-23,4.77E-23,6.19E-23,6.75E-23,1.33E-23,1.05E-24,8.24E-25,1.00E-03,1.08E+01
6.95522E-25,6.2232E-25,5.63253E-25,4.90804E-25,8.00854E-25,5.74E-24,1.80E-23,3.86E-23,6.22E-23,7.45E-23,9.86E-23,1.10E-22,2.17E-23,6.59E-25,5.54E-25,1.00E-03,1.09E+01
2.29899E-29,2.90445E-29,4.79565E-29,2.04659E-27,3.68856E-26,3.32E-25,9.80E-25,1.98E-24,3.22E-24,3.86E-24,4.96E-24,5.18E-24,1.02E-24,2.57E-29,1.04E-26,1.00E-03,1.10E+01
8.63933E-20,7.86177E-20,7.24093E-20,6.10727E-20,4.02872E-20,2.65E-20,2.19E-20,1.54E-20,1.14E-20,8.08E-21,3.84E-21,2.28E-21,1.18E-21,8.23E-20,5.54E-20,2.00E-03,6.00E+00
9.64198E-20,8.81987E-20,8.16641E-20,6.91016E-20,4.57822E-20,3.01E-20,2.48E-20,1.75E-20,1.29E-20,9.14E-21,4.32E-21,2.56E-21,1.35E-21,9.21E-20,6.28E-20,2.00E-03,6.10E+00
1.10037E-19,1.01016E-19,9.4388E-20,8.07626E-20,5.43172E-20,3.61E-20,2.99E-20,2.11E-20,1.56E-20,1.11E-20,5.25E-21,3.11E-21,1.68E-21,1.05E-19,7.38E-20,2.00E-03,6.20E+00
1.32771E-19,1.22923E-19,1.16743E-19,1.02666E-19,7.32497E-20,5.37E-20,5.26E-20,4.54E-20,4.24E-20,3.77E-20,3.19E-20,2.84E-20,1.87E-20,1.27E-19,9.56E-20,2.00E-03,6.30E+00
1.28782E-19,1.19398E-19,1.13737E-19,1.00609E-19,7.30437E-20,5.34E-20,5.29E-20,4.92E-20,5.07E-20,4.85E-20,4.81E-20,4.70E-20,2.99E-20,1.24E-19,9.44E-20,2.00E-03,6.40E+00
9.95086E-20,9.18618E-20,8.70732E-20,7.65818E-20,5.46416E-20,3.96E-20,3.78E-20,3.20E-20,2.94E-20,2.58E-20,2.17E-20,1.95E-20,1.24E-20,9.53E-20,7.13E-20,2.00E-03,6.50E+00
7.79751E-20,7.19567E-20,6.85971E-20,6.09441E-20,4.45776E-20,3.45E-20,3.48E-20,2.76E-20,2.28E-20,1.82E-20,1.20E-20,9.12E-21,4.80E-21,7.47E-20,5.71E-20,2.00E-03,6.60E+00
6.07223E-20,5.59877E-20,5.38442E-20,4.87086E-20,3.69742E-20,3.30E-20,3.94E-20,3.37E-20,2.99E-20,2.54E-20,1.94E-20,1.59E-20,6.85E-21,5.82E-20,4.60E-20,2.00E-03,6.70E+00
4.44055E-20,4.06448E-20,3.9137E-20,3.52893E-20,2.67977E-20,2.40E-20,2.99E-20,2.95E-20,3.16E-20,3.11E-20,3.29E-20,3.33E-20,9.75E-21,4.25E-20,3.34E-20,2.00E-03,6.80E+00
3.36293E-20,3.0725E-20,2.95444E-20,2.64708E-20,2.01877E-20,1.76E-20,2.12E-20,2.09E-20,2.27E-20,2.27E-20,2.51E-20,2.65E-20,6.77E-21,3.22E-20,2.51E-20,2.00E-03,6.90E+00
2.45006E-20,2.25507E-20,2.16804E-20,1.93238E-20,1.50488E-20,1.33E-20,1.62E-20,1.60E-20,1.72E-20,1.72E-20,1.87E-20,1.96E-20,4.83E-21,2.35E-20,1.85E-20,2.00E-03,7.00E+00
1.77528E-20,1.64245E-20,1.58058E-20,1.42464E-20,1.17536E-20,1.15E-20,1.49E-20,1.37E-20,1.34E-20,1.24E-20,1.17E-20,1.13E-20,2.88E-21,1.71E-20,1.39E-20,2.00E-03,7.10E+00
1.30142E-20,1.21141E-20,1.16584E-20,1.05965E-20,9.03841E-21,8.81E-21,1.11E-20,9.87E-21,9.19E-21,8.16E-21,7.07E-21,6.51E-21,1.55E-21,1.26E-20,1.05E-20,2.00E-03,7.20E+00
9.85629E-21,9.19248E-21,8.91016E-21,8.22888E-21,7.04715E-21,6.71E-21,8.51E-21,7.46E-21,6.83E-21,5.97E-21,5.04E-21,4.59E-21,9.63E-22,9.53E-21,8.12E-21,2.00E-03,7.30E+00
7.56696E-21,7.04137E-21,6.83416E-21,6.31783E-21,5.36966E-21,5.16E-21,6.91E-21,6.35E-21,6.08E-21,5.52E-21,5.03E-21,4.76E-21,9.58E-22,7.31E-21,6.22E-21,2.00E-03,7.40E+00
5.89438E-21,5.54267E-21,5.39315E-21,5.05634E-21,4.4024E-21,4.58E-21,6.63E-21,6.27E-21,6.13E-21,5.65E-21,5.24E-21,4.96E-21,9.89E-22,5.72E-21,5.00E-21,2.00E-03,7.50E+00
4.56467E-21,4.33244E-21,4.22028E-21,4.00423E-21,3.55405E-21,3.90E-21,5.97E-21,5.76E-21,5.68E-21,5.24E-21,4.84E-21,4.50E-21,8.67E-22,4.46E-21,3.98E-21,2.00E-03,7.60E+00
3.55162E-21,3.39363E-21,3.30417E-21,3.16244E-21,2.83769E-21,3.14E-21,4.90E-21,4.87E-21,4.92E-21,4.62E-21,4.35E-21,4.06E-21,7.78E-22,3.48E-21,3.15E-21,2.00E-03,7.70E+00
2.87717E-21,2.77274E-21,2.70597E-21,2.63297E-21,2.42553E-21,2.87E-21,4.73E-21,4.73E-21,4.77E-21,4.47E-21,4.19E-21,3.90E-21,7.52E-22,2.83E-21,2.63E-21,2.00E-03,7.80E+00
2.33292E-21,2.26723E-21,2.21206E-21,2.17757E-21,2.03127E-21,2.36E-21,3.83E-21,4.06E-21,4.45E-21,4.48E-21,4.98E-21,5.34E-21,1.09E-21,2.31E-21,2.18E-21,2.00E-03,7.90E+00
1.80398E-21,1.77416E-21,1.73652E-21,1.74133E-21,1.67181E-21,2.07E-21,3.54E-21,4.02E-21,4.69E-21,4.88E-21,5.70E-21,6.25E-21,1.28E-21,1.80E-21,1.76E-21,2.00E-03,8.00E+00
1.36325E-21,1.35666E-21,1.33357E-21,1.36106E-21,1.34195E-21,1.74E-21,3.05E-21,3.48E-21,3.99E-21,4.08E-21,4.49E-21,4.69E-21,9.38E-22,1.37E-21,1.38E-21,2.00E-03,8.10E+00
1.04855E-21,1.05777E-21,1.04624E-21,1.08959E-21,1.10803E-21,1.53E-21,2.77E-21,3.30E-21,4.00E-21,4.26E-21,5.17E-21,5.79E-21,1.20E-21,1.06E-21,1.11E-21,2.00E-03,8.20E+00
7.52846E-22,7.71128E-22,7.69202E-22,8.19577E-22,8.6485E-22,1.29E-21,2.41E-21,2.86E-21,3.39E-21,3.56E-21,4.14E-21,4.50E-21,9.19E-22,7.67E-22,8.45E-22,2.00E-03,8.30E+00
5.20446E-22,5.44346E-22,5.49571E-22,6.01286E-22,6.62084E-22,1.06E-21,2.05E-21,2.43E-21,2.89E-21,3.05E-21,3.62E-21,4.02E-21,8.29E-22,5.37E-22,6.28E-22,2.00E-03,8.40E+00
3.32909E-22,3.56278E-22,3.64945E-22,4.08697E-22,4.70486E-22,8.30E-22,1.70E-21,2.13E-21,2.66E-21,2.90E-21,3.62E-21,4.16E-21,8.67E-22,3.48E-22,4.32E-22,2.00E-03,8.50E+00
2.33814E-22,2.57539E-22,2.68445E-22,3.0684E-22,3.64597E-22,6.62E-22,1.37E-21,1.62E-21,1.91E-21,2.00E-21,2.32E-21,2.55E-21,5.23E-22,2.49E-22,3.28E-22,2.00E-03,8.60E+00
1.43515E-22,1.6377E-22,1.74936E-22,2.05076E-22,2.56487E-22,5.24E-22,1.17E-21,1.51E-21,1.90E-21,2.06E-21,2.54E-21,2.85E-21,5.86E-22,1.56E-22,2.23E-22,2.00E-03,8.70E+00
9.53231E-23,1.14489E-22,1.26403E-22,1.52703E-22,1.98855E-22,4.16E-22,9.49E-22,1.20E-21,1.47E-21,1.56E-21,1.85E-21,2.03E-21,4.12E-22,1.06E-22,1.68E-22,2.00E-03,8.80E+00
5.98188E-23,7.64584E-23,8.88783E-23,1.11369E-22,1.5312E-22,3.53E-22,8.69E-22,1.22E-21,1.60E-21,1.77E-21,2.23E-21,2.51E-21,5.10E-22,6.86E-23,1.25E-22,2.00E-03,8.90E+00
3.54629E-23,4.87748E-23,6.23747E-23,8.26239E-23,1.21181E-22,3.06E-22,7.75E-22,1.11E-21,1.46E-21,1.61E-21,1.98E-21,2.19E-21,4.39E-22,4.14E-23,9.50E-23,2.00E-03,9.00E+00
1.76776E-23,2.61732E-23,3.96154E-23,5.78325E-23,9.29059E-23,2.64E-22,7.00E-22,1.09E-21,1.50E-21,1.69E-21,2.14E-21,2.39E-21,4.82E-22,2.05E-23,6.89E-23,2.00E-03,9.10E+00
7.59259E-24,1.13554E-23,2.09967E-23,3.64224E-23,6.49628E-23,2.07E-22,5.72E-22,9.68E-22,1.41E-21,1.63E-21,2.15E-21,2.46E-21,5.00E-22,8.34E-24,4.55E-23,2.00E-03,9.20E+00
2.95484E-24,4.46884E-24,9.59353E-24,2.07804E-23,4.2052E-23,1.41E-22,3.66E-22,5.88E-22,8.13E-22,9.09E-22,1.12E-21,1.23E-21,2.45E-22,3.20E-24,2.75E-23,2.00E-03,9.30E+00
1.39112E-24,2.09586E-24,4.51981E-24,1.18027E-23,2.76644E-23,1.02E-22,2.62E-22,4.31E-22,6.03E-22,6.77E-22,8.31E-22,9.05E-22,1.80E-22,1.54E-24,1.67E-23,2.00E-03,9.40E+00
3.96315E-25,6.69337E-25,1.8095E-24,6.41789E-24,1.81203E-23,7.60E-23,1.94E-22,3.29E-22,4.68E-22,5.29E-22,6.52E-22,7.09E-22,1.41E-22,4.43E-25,9.93E-24,2.00E-03,9.50E+00
1.70395E-25,3.10479E-25,9.18E-25,4.04459E-24,1.27982E-23,5.42E-23,1.32E-22,2.21E-22,3.12E-22,3.50E-22,4.27E-22,4.61E-22,9.16E-23,1.96E-25,6.65E-24,2.00E-03,9.60E+00
1.0314E-25,1.69354E-25,4.97817E-25,2.53776E-24,9.09605E-24,4.45E-23,1.14E-22,2.03E-22,2.94E-22,3.36E-22,4.16E-22,4.53E-22,9.00E-23,1.14E-25,4.44E-24,2.00E-03,9.70E+00
8.48853E-26,1.21273E-25,2.83991E-25,1.62207E-24,6.73842E-24,3.65E-23,9.51E-23,1.73E-22,2.54E-22,2.91E-22,3.62E-22,3.94E-22,7.80E-23,9.37E-26,3.07E-24,2.00E-03,9.80E+00
1.9122E-26,3.70574E-26,1.32055E-25,1.1048E-24,5.03137E-24,2.62E-23,6.38E-23,1.10E-22,1.56E-22,1.76E-22,2.10E-22,2.22E-22,4.36E-23,2.28E-26,2.22E-24,2.00E-03,9.90E+00
4.2424E-26,4.70951E-26,8.36854E-26,6.37996E-25,3.49737E-24,2.22E-23,5.91E-23,1.11E-22,1.65E-22,1.91E-22,2.40E-22,2.62E-22,5.20E-23,4.32E-26,1.42E-24,2.00E-03,1.00E+01
9.12747E-27,1.42496E-26,4.49939E-26,5.51521E-25,3.20332E-24,1.91E-23,4.79E-23,8.50E-23,1.23E-22,1.40E-22,1.69E-22,1.79E-22,3.53E-23,1.04E-26,1.28E-24,2.00E-03,1.01E+01
3.95551E-26,3.93581E-26,4.66897E-26,2.06903E-25,1.64869E-24,1.51E-23,4.64E-23,9.52E-23,1.49E-22,1.76E-22,2.32E-22,2.60E-22,5.20E-23,3.91E-26,5.65E-25,2.00E-03,1.02E+01
2.99249E-26,4.8954E-26,9.51375E-26,2.77149E-25,1.32059E-24,9.50E-24,2.73E-23,5.16E-23,7.86E-23,9.19E-23,1.18E-22,1.30E-22,2.59E-23,3.33E-26,5.52E-25,2.00E-03,1.03E+01
4.07887E-25,4.83937E-25,5.31101E-25,7.05596E-25,1.54665E-24,8.01E-24,2.22E-23,4.05E-23,6.10E-23,7.11E-23,9.08E-23,9.92E-23,1.97E-23,4.51E-25,9.31E-25,2.00E-03,1.04E+01
8.7636E-25,9.14091E-25,9.21693E-25,1.05492E-24,1.75532E-24,7.53E-24,2.02E-23,3.77E-23,5.74E-23,6.72E-23,8.62E-23,9.44E-23,1.87E-23,9.02E-25,1.25E-24,2.00E-03,1.05E+01
1.18996E-24,1.16099E-24,1.13138E-24,1.17391E-24,1.94018E-24,1.06E-23,3.17E-23,6.50E-23,1.03E-22,1.23E-22,1.65E-22,1.87E-22,3.78E-23,1.18E-24,1.37E-24,2.00E-03,1.06E+01
1.64448E-24,1.515E-24,1.43615E-24,1.28688E-24,1.34188E-24,4.66E-24,1.37E-23,2.83E-23,4.59E-23,5.53E-23,7.50E-23,8.52E-23,1.71E-23,1.58E-24,1.31E-24,2.00E-03,1.07E+01
5.68961E-25,5.15328E-25,4.78157E-25,4.09887E-25,5.10266E-25,2.74E-24,8.57E-24,1.80E-23,2.93E-23,3.53E-23,4.73E-23,5.27E-23,1.05E-23,5.40E-25,4.32E-25,2.00E-03,1.08E+01
7.85902E-25,7.19236E-25,6.68793E-25,5.7442E-25,7.31094E-25,4.91E-24,1.66E-23,3.68E-23,6.06E-23,7.34E-23,1.01E-22,1.16E-22,2.33E-23,7.53E-25,5.99E-25,2.00E-03,1.09E+01
2.78918E-25,2.46356E-25,2.2429E-25,1.91627E-25,1.67983E-25,7.30E-25,2.48E-24,5.54E-24,9.27E-24,1.13E-23,1.55E-23,1.77E-23,3.55E-24,2.63E-25,1.82E-25,2.00E-03,1.10E+01
8.76445E-20,7.98094E-20,7.39187E-20,6.27093E-20,4.17927E-20,2.76E-20,2.29E-20,1.61E-20,1.19E-20,8.42E-21,3.99E-21,2.36E-21,1.21E-21,8.35E-20,5.71E-20,3.00E-03,6.00E+00
1.00841E-19,9.23234E-20,8.62141E-20,7.35449E-20,4.92414E-20,3.25E-20,2.68E-20,1.89E-20,1.39E-20,9.88E-21,4.67E-21,2.77E-21,1.46E-21,9.63E-20,6.71E-20,3.00E-03,6.10E+00
1.17446E-19,1.07853E-19,1.01709E-19,8.79714E-20,6.0043E-20,4.02E-20,3.35E-20,2.37E-20,1.75E-20,1.25E-20,5.92E-21,3.50E-21,1.90E-21,1.12E-19,8.08E-20,3.00E-03,6.20E+00
1.39311E-19,1.289E-19,1.23516E-19,1.09989E-19,7.98911E-20,5.95E-20,5.92E-20,5.13E-20,4.76E-20,4.18E-20,3.45E-20,2.99E-20,2.01E-20,1.34E-19,1.03E-19,3.00E-03,6.30E+00
1.31879E-19,1.22289E-19,1.1761E-19,1.05639E-19,7.88432E-20,6.02E-20,6.49E-20,6.69E-20,7.34E-20,7.23E-20,7.33E-20,7.03E-20,4.48E-20,1.26E-19,1.00E-19,3.00E-03,6.40E+00
1.00289E-19,9.22787E-20,8.79947E-20,7.81649E-20,5.66865E-20,4.09E-20,3.81E-20,3.04E-20,2.59E-20,2.13E-20,1.57E-20,1.32E-20,7.84E-21,9.58E-20,7.33E-20,3.00E-03,6.50E+00
7.7934E-20,7.13799E-20,6.84905E-20,6.15587E-20,4.54477E-20,3.42E-20,3.32E-20,2.60E-20,2.13E-20,1.68E-20,1.11E-20,8.48E-21,4.28E-21,7.43E-20,5.80E-20,3.00E-03,6.60E+00
6.09091E-20,5.55315E-20,5.37069E-20,4.87678E-20,3.66877E-20,2.88E-20,2.95E-20,2.42E-20,2.13E-20,1.80E-20,1.43E-20,1.27E-20,4.54E-21,5.80E-20,4.62E-20,3.00E-03,6.70E+00
4.45357E-20,4.05041E-20,3.92525E-20,3.57729E-20,2.75754E-20,2.34E-20,2.71E-20,2.63E-20,2.85E-20,2.83E-20,3.13E-20,3.29E-20,9.16E-21,4.24E-20,3.41E-20,3.00E-03,6.80E+00
3.30898E-20,2.99992E-20,2.89873E-20,2.60548E-20,2.01121E-20,1.64E-20,1.83E-20,1.85E-20,2.14E-20,2.23E-20,2.72E-20,3.04E-20,7.29E-21,3.15E-20,2.50E-20,3.00E-03,6.90E+00
2.34948E-20,2.14033E-20,2.06573E-20,1.84618E-20,1.46315E-20,1.22E-20,1.42E-20,1.46E-20,1.70E-20,1.78E-20,2.18E-20,2.44E-20,5.69E-21,2.24E-20,1.79E-20,3.00E-03,7.00E+00
1.66684E-20,1.52244E-20,1.46387E-20,1.30536E-20,1.07772E-20,9.96E-21,1.28E-20,1.30E-20,1.41E-20,1.41E-20,1.55E-20,1.63E-20,3.73E-21,1.59E-20,1.29E-20,3.00E-03,7.10E+00
1.21946E-20,1.12122E-20,1.08278E-20,9.80352E-21,8.37134E-21,8.17E-21,1.08E-20,1.02E-20,1.02E-20,9.57E-21,9.54E-21,9.57E-21,2.12E-21,1.17E-20,9.74E-21,3.00E-03,7.20E+00
9.36877E-21,8.67761E-21,8.48415E-21,7.88886E-21,6.75986E-21,6.31E-21,8.06E-21,7.44E-21,7.29E-21,6.74E-21,6.50E-21,6.45E-21,1.33E-21,9.01E-21,7.80E-21,3.00E-03,7.30E+00
7.3292E-21,6.78978E-21,6.63608E-21,6.16264E-21,5.2495E-21,4.93E-21,6.63E-21,6.43E-21,6.59E-21,6.30E-21,6.45E-21,6.55E-21,1.32E-21,7.05E-21,6.09E-21,3.00E-03,7.40E+00
5.67824E-21,5.31394E-21,5.19989E-21,4.89197E-21,4.25694E-21,4.30E-21,6.28E-21,6.28E-21,6.54E-21,6.30E-21,6.45E-21,6.47E-21,1.28E-21,5.49E-21,4.85E-21,3.00E-03,7.50E+00
4.39754E-21,4.16062E-21,4.07082E-21,3.88225E-21,3.45008E-21,3.63E-21,5.52E-21,5.65E-21,5.95E-21,5.75E-21,5.85E-21,5.79E-21,1.14E-21,4.28E-21,3.86E-21,3.00E-03,7.60E+00
3.4738E-21,3.3228E-21,3.25045E-21,3.14327E-21,2.84953E-21,3.07E-21,4.74E-21,4.87E-21,5.10E-21,4.90E-21,4.87E-21,4.74E-21,9.23E-22,3.41E-21,3.14E-21,3.00E-03,7.70E+00
