Source_ID,f275w_ul,f275w_vega,f275w_err_orig,f275w_err,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,F148W_AB,F148W_err_orig,F148W_err,F172M_AB,F172M_err_orig,F172M_err,N219M_AB,N219M_err_orig,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err_1,F169M_err,Separation_1,Region
2047,,16.2,0.03,0.036055513,,16.55,0.02,0.028284271,,18.04,0.04,0.04472136,,18.23,0.13,0.131529464,,18.24,0.28,0.284429253,,17.68,0.29,0.294278779,17.90166263,0.024788889,0.055807607,18.26139574,0.046773796,0.110398315,17.70483612,0.040342241,0.107830869,,,,,,0.289588938,2
2143,,16.28,0.01,0.02236068,,16.67,0.01,0.02236068,,18.13,0.01,0.02236068,,18.41,0.14,0.141421356,,18.89,0.35,0.353553391,,18.9,0.21,0.215870331,18.06363116,0.024956256,0.05588215,18.53577691,0.049277029,0.111481952,17.74622212,0.040688371,0.107960843,,,,,,0.4135987,2
2145,,18.84,0.02,0.028284271,,19.11,0.03,0.036055513,,20.1,0.04,0.04472136,,19.32,0.21,0.210950231,,17.82,0.21,0.215870331,,16.94,0.18,0.186815417,20.49695893,0.033581548,0.06023056,21.29936389,0.12278859,0.158357311,20.86209936,0.118867835,0.155336931,,,,,,0.441183484,2
2219,,19.39,0.02,0.028284271,,18.61,0.01,0.02236068,,18.24,0.02,0.028284271,,16.71,0.04,0.04472136,,16.21,0.08,0.094339811,,15.59,0.06,0.078102497,22.94951863,0.10871737,0.119663973,22.24549941,0.157215016,0.186323808,21.27587796,0.141018493,0.172876301,,,25.54822389,0.588525306,0.596960665,0.313910126,1
2309,,17.6,0.01,0.02236068,,17.94,0.01,0.02236068,,19.37,0.03,0.036055513,>,18.96,0.13882075,0.140254057,>,17.5,0.1503876,0.15848164,>,16.45,0.15390909,0.161827093,19.28399051,0.027342278,0.056987719,19.44051192,0.061877944,0.117596258,18.96498439,0.056655121,0.114933906,,,,,,0.157447686,2
2321,,15.66,0.09,0.092195445,,15.91,0.08,0.082462113,,17.23,0.05,0.053851648,,17.25,0.1,0.10198039,>,17.34,0.1503876,0.15848164,>,16.47,0.15390909,0.161827093,18.01409357,0.024902515,0.055858171,18.30957908,0.047177704,0.110570049,17.92166753,0.042273663,0.108568239,,,,,,0.225948825,2
2324,,18.64,0.02,0.028284271,,18.67,0.02,0.028284271,,19.63,0.02,0.028284271,,19.28,0.18,0.181107703,>,18.33,0.1503876,0.15848164,>,17.26,0.15390909,0.161827093,21.16647633,0.040118388,0.064105265,21.35193419,0.125530736,0.160492884,20.98514313,0.125365131,0.160363388,,,,,,0.125300748,2
2341,,17.39,0.05,0.053851648,,17.64,0.06,0.063245553,,19.06,0.08,0.082462113,>,19.1,0.13882075,0.140254057,>,18.62,0.1503876,0.15848164,>,17.9,0.15390909,0.161827093,18.88440255,0.026280792,0.056486105,19.39903843,0.061123101,0.117200825,19.06552697,0.058594947,0.115902406,,,,,,0.341227037,2
2348,,18.74,0.06,0.063245553,,17.52,0.02,0.028284271,,16.98,0.01,0.02236068,,15.28,0.01,0.02236068,,14.55,0.02,0.053851648,,13.78,0.03,0.058309519,22.89368045,0.075497683,0.0905533,21.82135791,0.153460594,0.183167011,21.63228028,0.166690903,0.194385846,,,,,,0.577651884,2
2377,,19.49,0.05,0.053851648,,18.75,0.02,0.028284271,,18.41,0.03,0.036055513,,16.91,0.06,0.063245553,,16.51,0.1,0.111803399,,15.95,0.15,0.158113883,22.90426387,0.107411358,0.118478689,22.11578198,0.148452012,0.17899162,21.80021464,0.177570851,0.203792559,,,22.53477609,0.149099433,0.179528942,0.170912797,1
2466,,18.03,0.02,0.028284271,,17.01,0.01,0.02236068,,16.44,0.05525,0.05875851,,14.66,0.13882075,0.140254057,,14.05,0.03,0.058309519,,13.34,0.03,0.058309519,21.60149025,0.083084281,0.096969056,21.13712353,0.097471384,0.139644802,20.78757295,0.11442015,0.151960425,,,21.13687893,0.0814449,0.128970042,0.206594218,1
2550,,16.5,0.02,0.028284271,,16.9,0.06,0.063245553,,18.43,0.09,0.092195445,,18.44,0.21,0.210950231,>,18.28,0.1503876,0.15848164,>,17.2,0.15390909,0.161827093,18.78535094,0.026067691,0.056387273,18.97385555,0.054436937,0.11385684,18.29340024,0.046335132,0.110213177,,,,,,0.257950897,2
2573,,18.36,0.04,0.04472136,,18.25,0.03,0.036055513,,19.21,0.03,0.036055513,,18.64,0.18,0.181107703,>,17.98,0.1503876,0.15848164,>,17.04,0.15390909,0.161827093,20.40319848,0.032878226,0.059841271,20.91421324,0.104776065,0.144837923,21.57323687,0.162367237,0.190691163,,,,,,0.313183554,2
2590,,17.61,0.01,0.02236068,,16.8,0.038844764,0.04369114,,16.4,0.05525,0.05875851,,14.85,0.01,0.02236068,,14.31,0.03,0.058309519,,13.66,0.04,0.064031242,20.33610522,0.074351494,0.089599914,20.32538948,0.070630231,0.122428059,20.32530937,0.094572143,0.137636806,,,20.46045937,0.062264801,0.117800278,0.162053058,1
2655,,17.39,0.03,0.036055513,,17.35,0.01,0.02236068,,18.23,0.03,0.036055513,,17.96,0.14,0.141421356,>,17.9,0.1503876,0.15848164,>,16.78,0.15390909,0.161827093,20.26485016,0.031921404,0.059320958,19.91437965,0.07200342,0.123225373,19.7676785,0.075707904,0.125426021,,,,,,0.09258047,2
2672,,17.66,0.02,0.028284271,,17.78,0.03,0.036055513,,19,0.04,0.04472136,,18.96,0.18,0.181107703,>,18.26,0.1503876,0.15848164,>,17.71,0.15390909,0.161827093,19.89226816,0.072932535,0.088425984,19.3228997,0.050425108,0.111994158,19.76638041,0.076152124,0.125694654,,,19.90989803,0.051075926,0.112288691,0.083993736,1
