Source_ID,f275w_ul,f275w_vega,f275w_err_orig,f275w_err,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,F148W_AB,F148W_err_orig,F148W_err,F172M_AB,F172M_err_orig,F172M_err,N219M_AB,N219M_err_orig,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err_1,F169M_err,Separation_1,Region
122,,18.33,0.01,0.02236068,,18.44,0.01,0.02236068,,19.46,0.02,0.028284271,,18.86,0.02,0.028284271,,18.57,0.12,0.13,,18.05,0.14,0.148660687,20.37110923,0.074628201,0.089829663,19.85013658,0.086740474,0.132377905,19.99158457,0.084699304,0.131049502,,,,,,0.1175541,7
166,,17.96,0.02,0.028284271,,17.23,0.038844764,0.04369114,,17.02,0.05525,0.05875851,,15.64,0.02,0.028284271,,15.2,0.03,0.058309519,,14.63,0.05,0.070710678,21.41028948,0.081119881,0.095291317,21.54285649,0.115687108,0.152916667,20.64603215,0.107841272,0.147070527,,,21.81538626,0.108599792,0.147627622,0.122731536,1
403,,15.26,0.09,0.092195445,,15.28,0.1,0.10198039,,16.33,0.09,0.092195445,,15.77,0.11,0.111803399,,15.56,0.15,0.158113883,,15.52,0.25,0.254950976,17.51490357,0.047074781,0.068673394,16.85027791,0.046630306,0.110337598,17.32526382,0.047634311,0.110765643,,,,,,0.322056697,7
425,,19.08,0.02,0.028284271,,18.45,0.01,0.02236068,,18.23,0.02,0.028284271,,16.72,0.04,0.04472136,,16.19,0.09,0.102956301,,15.51,0.12,0.13,21.40619562,0.043221469,0.066091568,22.07837798,0.171695141,0.198693788,21.5113069,0.15796098,0.186953661,,,,,,0.175290245,2
445,,16.99,0.02,0.028284271,,16.17,0.01,0.02236068,,15.75,0.01,0.02236068,,14.21,0.01,0.02236068,,13.64,0.01,0.050990195,,12.96,0.01,0.050990195,19.84983848,0.029564228,0.058086518,20.00684187,0.074331778,0.124600214,19.31966173,0.064031278,0.11874344,,,,,,0.21413564,2
447,,17.65,0.01,0.02236068,,17.64,0.01,0.02236068,,18.32,0.01,0.02236068,,16.9,0.02,0.028284271,,15.96,0.02,0.053851648,,15.15,0.05,0.070710678,19.70349887,0.062527017,0.080060151,19.47863611,0.076611863,0.125973718,19.84218066,0.080524676,0.128390901,,,,,,0.246099218,7
483,,17.26,0.01,0.02236068,,16.46,0.01,0.02236068,,16.18,0.01,0.02236068,,14.67,0.01,0.02236068,,14.15,0.01,0.050990195,,13.53,0.02,0.053851648,21.26013545,0.100751332,0.112475913,20.24942338,0.100308917,0.141639962,19.61220048,0.074777782,0.124866796,,,,,,0.299968067,7
626,,17.61,0.02,0.028284271,,16.52,0.02,0.028284271,,16.04,0.01,0.02236068,,14.44,0.02,0.028284271,,13.87,0.03,0.058309519,,13.15,0.04,0.064031242,21.93884821,0.051911018,0.07207464,22.0799078,0.171810598,0.198793565,20.62433296,0.107372243,0.146726952,,,,,,0.470297277,2
662,,16.81,0.02,0.028284271,,17.03,0.03,0.036055513,,18.08,0.03,0.036055513,,16.73,0.04,0.04472136,,15.93,0.05,0.070710678,,14.97,0.05,0.070710678,18.9004116,0.071213088,0.08701324,18.40273001,0.040269084,0.107803521,18.59970632,0.052184927,0.112797458,,,18.85998327,0.037665326,0.106858209,0.246041347,1
693,,15.76,0.02,0.028284271,,15.84,0.02,0.028284271,,16.57,0.02,0.028284271,,16,0.04,0.04472136,,15.62,0.08,0.094339811,,15.36,0.1,0.111803399,18.47917798,0.070837315,0.08670597,18.0855345,0.038034851,0.106989018,20.12012351,0.08716693,0.132657731,,,18.26260964,0.03331264,0.105402713,0.585632919,1
696,,18.09,0.07,0.072801099,,18.03,0.04,0.04472136,,19.04,0.01,0.02236068,,18.78,0.23,0.230867928,>,17.96,0.1503876,0.15848164,>,16.83,0.15390909,0.161827093,20.58746478,0.073337643,0.088760407,20.49361605,0.102838095,0.143442232,20.37902999,0.089714581,0.134345473,,,,,,0.569770319,13
757,,17.8,0.01,0.02236068,,16.8,0.01,0.02236068,,16.39,0.01,0.02236068,,14.83,0.01,0.02236068,,14.25,0.01,0.050990195,,13.55,0.01,0.050990195,21.23264726,0.040929987,0.064616282,21.94468024,0.161926956,0.190316418,20.54163662,0.103680853,0.144047629,,,,,,0.176907211,2
808,,17.75,0.01,0.02236068,,18.07,0.01,0.02236068,,19.43,0.06,0.063245553,,19.33,0.26,0.260768096,>,18.24,0.1503876,0.15848164,>,17.11,0.15390909,0.161827093,19.59910177,0.072258045,0.087870502,19.220688,0.048968275,0.111345821,19.51843412,0.069609904,0.12184227,,,19.52350586,0.045097372,0.109698555,0.193489725,1
834,,19.78,0.05,0.053851648,,19.14,0.01,0.02236068,,18.97,0.02,0.028284271,,17.56,0.1,0.10198039,,16.68,0.21,0.215870331,,15.94,0.27,0.274590604,22.67814683,0.069100985,0.085293295,22.16897157,0.178680962,0.204760558,22.07819621,0.203562638,0.226798914,,,,,,0.132306611,2
844,,18.59,0.01,0.02236068,,18.58,0.01,0.02236068,,19.13,0.04,0.04472136,,17.84,0.09,0.092195445,,17.3,0.18,0.186815417,,16.52,0.1,0.111803399,20.58850496,0.034313612,0.060641768,21.06189527,0.11126838,0.149601646,20.64592673,0.108361402,0.147452343,,,,,,0.282889486,2
846,,16.3,0.05,0.053851648,,16.58,0.05,0.053851648,,17.93,0.07,0.072801099,,17.8,0.08,0.082462113,,17.73,0.17,0.177200451,,17.46,0.34,0.343656806,17.66385687,0.024582711,0.055716332,18.39483771,0.047928604,0.11089252,17.88216501,0.04189952,0.108423105,,,,,,0.171419534,2
881,,16.9,0.02,0.028284271,,15.89,0.01,0.02236068,,15.37,0.01,0.02236068,,13.74,0.01,0.02236068,,13.05,0.01,0.050990195,,12.31,0.01,0.050990195,20.00767977,0.067389929,0.083913065,20.01926385,0.092121432,0.135964548,19.44962599,0.071173245,0.122742131,,,,,,0.227471161,7
884,,18.34,0.01,0.02236068,,18.54,0.01,0.02236068,,19.77,0.02,0.028284271,,19.64,0.14,0.141421356,>,19.89,0.1503876,0.15848164,>,18.89,0.15390909,0.161827093,20.39760616,0.032837712,0.059819021,20.53883181,0.090355805,0.134774521,20.23912194,0.091410396,0.135483802,,,,,,0.029631322,2
955,,17,0.24,0.240831892,,16.84,0.13,0.131529464,,17.91,0.12,0.121655251,,17.29,0.17,0.171172428,,16.79,0.17,0.177200451,,16.46,0.31,0.314006369,18.95489829,0.026443577,0.056562026,19.81060507,0.069534894,0.121799431,19.36519102,0.06509075,0.119318086,,,,,,0.148781689,2
1052,,16.7,0.02,0.028284271,,15.91,0.01,0.02236068,,15.62,0.01,0.02236068,,14.12,0.01,0.02236068,,13.56,0.03,0.058309519,,12.88,0.03,0.058309519,20.01227081,0.073263356,0.088699038,19.83797133,0.059338387,0.116280025,19.31997859,0.064996844,0.119266884,,,19.79986114,0.049230921,0.111461579,0.226644538,1
1088,,18.92,0.04,0.04472136,,18.92,0.02,0.028284271,,19.69,0.02,0.028284271,,19.23,0.14,0.141421356,>,19.08,0.1503876,0.15848164,>,18.12,0.15390909,0.161827093,21.06275161,0.038911609,0.063357031,21.69630766,0.14537936,0.176451575,20.65625262,0.108838165,0.147803065,,,,,,0.324513241,2
1137,,17,0.04,0.04472136,,16.08,0.01,0.02236068,,15.64,0.01,0.02236068,,14.08,0.01,0.02236068,,13.5,0.01,0.050990195,,12.81,0.01,0.050990195,20.60461945,0.034447281,0.060717503,20.58732241,0.09206156,0.135923989,19.68862198,0.073435497,0.124067611,,,,,,0.218574697,2
1176,,20.49,0.05,0.053851648,,20.44,0.04,0.04472136,,20.68,0.04,0.04472136,,19.37,0.22,0.22090722,,18.71,0.37,0.373363094,>,17.77,0.15390909,0.161827093,22.22910633,0.057863434,0.076473374,22.41970629,0.199673933,0.223315202,21.85835646,0.184413471,0.20978162,,,,,,0.329503258,2
1230,,17.34,0.02,0.028284271,,17.46,0.04,0.04472136,,18.6,0.05,0.053851648,,18.46,0.2,0.200997512,>,17.96,0.1503876,0.15848164,>,17.42,0.15390909,0.161827093,19.45492769,0.027912736,0.057263608,19.68267235,0.066692512,0.120199381,19.38134531,0.065473198,0.11952715,,,,,,0.64451574,2
