Source_ID,log(Z)_lo,log(Z)_hi,log(Z_hot)_lo,log(Z_hot)_hi,log(Z_cool)_lo,log(Z_cool)_hi,log(Z_old_1)_lo,log(Z_old_1)_hi,log(Z_old_2)_lo,log(Z_old_2)_hi,log(Z_young)_lo,log(Z_young)_hi,,,log(age)/10_lo,log(age)/10_hi,log(age_hot)/10_lo,log(age_hot)/10_hi,log(age_cool)/10_lo,log(age_cool)/10_hi,log(age_old_1)/10_lo,log(age_old_1)/10_hi,log(age_old_2)/10_lo,log(age_old_2)/10_hi,log(age_young)/10_lo,log(age_young)/10_hi,,,log(M)/10_lo,log(M)/10_hi,log(M_hot)/10_lo,log(M_hot)/10_hi,log(M_cool)/10_lo,log(M_cool)/10_hi,log(M_old_1)/10_lo,log(M_old_1)/10_hi,log(M_old_2)/10_lo,log(M_old_2)/10_hi,log(M_young)/10_lo,log(M_young)/10_hi,,,E(B-V)_lo,E(B-V)_hi,E(B-V)_hot_lo,E(B-V)_hot_hi,E(B-V)_cool_lo,E(B-V)_cool_hi,E(B-V)_old_lo,E(B-V)_old_hi,E(B-V)_young_lo,E(B-V)_young_hi
B048,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,,,0.66,0.9,0.66,1.01,0.66,1.01,0.8,0.9,0.9,1.13,0.66,0.8,,,0,0.75,0,1.4,0,1.4,0,1,0,1,0,0.7,,,0,1,0,2,0,2,0,1,0,1
B055,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,-2.1,-0.1,,,0.66,0.9,0.66,1.01,0.66,1.01,0.8,0.9,0.9,1.13,0.66,0.8,,,0,0.75,0,1.4,0,1.4,0,1,0,1,0,0.7,,,0,1,0,2,0,2,0,1,0,1
