F148W,F169M,F172M,N219M,N279N,f275w,f336w,f475w,f814w,f110w,f160w,Z,log(age)
5.99647E-23,6.93852E-23,7.57901E-23,8.92904E-23,1.23802E-22,1.23E-22,1.62E-22,9.78E-22,6.07E-22,6.84E-22,6.67625E-22,1.00E-05,9.20E+00
3.68488E-23,4.49609E-23,5.14094E-23,6.38395E-23,9.69756E-23,9.57E-23,1.48E-22,9.50E-22,5.90E-22,6.75E-22,6.63939E-22,1.00E-05,9.30E+00
2.20351E-23,2.84107E-23,3.4052E-23,4.43275E-23,7.21864E-23,7.10E-23,1.21E-22,8.24E-22,5.11E-22,5.93E-22,5.89509E-22,1.00E-05,9.40E+00
1.20888E-23,1.67099E-23,2.16181E-23,3.01679E-23,5.37113E-23,5.27E-23,9.80E-23,7.06E-22,4.38E-22,5.12E-22,5.10691E-22,1.00E-05,9.50E+00
7.48051E-24,1.04955E-23,1.47389E-23,2.209E-23,4.20301E-23,4.11E-23,8.02E-23,6.21E-22,3.85E-22,4.57E-22,4.62637E-22,1.00E-05,9.60E+00
4.64029E-24,6.44103E-24,1.00163E-23,1.64783E-23,3.28895E-23,3.21E-23,5.56E-23,3.92E-22,2.43E-22,2.78E-22,2.69069E-22,1.00E-05,9.70E+00
3.02601E-24,3.74506E-24,5.57166E-24,1.01657E-23,2.29837E-23,2.24E-23,4.63E-23,4.15E-22,2.58E-22,3.14E-22,3.23148E-22,1.00E-05,9.80E+00
3.2279E-24,3.7173E-24,5.03867E-24,9.07809E-24,2.10994E-23,2.06E-23,4.27E-23,3.96E-22,2.46E-22,3.00E-22,3.10375E-22,1.00E-05,9.90E+00
3.05506E-24,3.30023E-24,4.01982E-24,7.09365E-24,1.60471E-23,1.56E-23,2.62E-23,2.22E-22,1.38E-22,1.62E-22,1.60354E-22,1.00E-05,1.00E+01
3.36068E-24,3.48189E-24,3.82587E-24,5.78043E-24,1.37602E-23,1.35E-23,3.51E-23,3.88E-22,2.41E-22,3.07E-22,3.28098E-22,1.00E-05,1.01E+01
2.15633E-24,2.14396E-24,2.19139E-24,2.91653E-24,6.31283E-24,6.19E-24,1.33E-23,1.42E-22,8.82E-23,1.10E-22,1.1458E-22,1.00E-05,1.02E+01
1.95607E-24,1.90024E-24,1.88147E-24,2.34049E-24,5.17571E-24,5.08E-24,1.19E-23,1.32E-22,8.18E-23,1.03E-22,1.06988E-22,1.00E-05,1.03E+01
2.83405E-24,2.68376E-24,2.58283E-24,2.87448E-24,5.36574E-24,5.30E-24,1.21E-23,1.40E-22,8.68E-23,1.11E-22,1.17219E-22,1.00E-05,1.04E+01
1.89924E-24,1.76587E-24,1.69299E-24,2.25648E-24,6.59037E-24,6.43E-24,1.61E-23,1.72E-22,1.07E-22,1.32E-22,1.35648E-22,1.00E-05,1.05E+01
9.13406E-25,8.56859E-25,8.19314E-25,9.12884E-25,2.21449E-24,2.19E-24,9.68E-24,1.35E-22,8.36E-23,1.12E-22,1.23542E-22,1.00E-05,1.06E+01
1.46381E-24,1.32514E-24,1.22178E-24,1.17269E-24,2.03955E-24,2.03E-24,6.11E-24,7.77E-23,4.82E-23,6.28E-23,6.64572E-23,1.00E-05,1.07E+01
1.06796E-24,9.60962E-25,8.75052E-25,9.52614E-25,3.03711E-24,2.98E-24,1.19E-23,1.49E-22,9.26E-23,1.20E-22,1.28997E-22,1.00E-05,1.08E+01
4.97013E-26,4.71394E-26,4.58753E-26,1.01845E-25,8.20514E-25,8.00E-25,4.17E-24,5.43E-23,3.37E-23,4.39E-23,4.64341E-23,1.00E-05,1.09E+01
4.75009E-27,4.64521E-27,4.68177E-27,1.87376E-26,1.70361E-25,1.65E-25,7.40E-25,9.44E-24,5.86E-24,7.48E-24,7.50678E-24,1.00E-05,1.10E+01
